,probe_success
0,0.0
1,0.0
2,-7.452249251473251
3,0.0
4,-9.680622576862811
5,-6.074883169383726
6,0.0
7,0.0
8,5.748635049278658
9,-6.021478227963036
10,12.326113441859475
11,0.0
12,0.0
13,7.424641227135053
14,6.518761216984537
15,7.340459581558941
16,0.0
17,0.0
18,5.9759897441186185
19,14.526102116671577
20,10.198522609608023
21,10.597681213045519
22,0.0
23,-7.253176907480398
24,0.0
25,0.0
26,0.0
27,13.293409503638387
28,14.969314160538229
29,5.900686980491411
30,9.502975777430171
31,9.248514987543661
32,0.0
33,0.0
34,5.652394797092911
35,6.711158166385103
36,-4.170960973665268
37,11.717667160176756
38,-8.736479016987776
39,-10.519454418708023
40,5.9269673528678535
41,0.0
42,8.970282566924622
43,6.468547661273348
44,10.396692641718865
45,0.0
46,4.328733432339955
47,-7.588464300044334
48,8.869771491561163
49,5.989758009339563
50,0.0
51,-5.734470852932678
52,-4.322923272295462
53,0.0
54,-4.1693766225416615
55,-4.645683143587369
56,0.0
57,0.0
58,8.584753817720669
59,0.0
60,-7.5961260982953
61,-9.080603900400568
62,0.0
63,0.0
64,7.41610945100492
65,11.778322687527956
66,9.998743610681817
67,10.320536206048317
68,10.468982248475992
69,0.0
70,14.52502040484178
71,0.0
72,8.655786455828864
73,14.439186373488143
74,0.0
75,0.0
76,-9.300498482976456
77,0.0
78,-8.916951549262134
79,-8.749255316405842
80,0.0
81,0.0
82,0.0
83,0.0
84,-6.128965202394185
85,-4.566728001332178
86,0.0
87,4.2158069561336
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,-4.341527206229595
94,5.757745260518069
95,0.0
96,0.0
97,0.0
98,-4.560154015822064
99,-9.09543577193761
100,0.0
101,-7.9718234560285985
102,0.0
103,0.0
104,4.400369308711287
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,-6.5965728493812295
111,0.0
112,0.0
113,-4.3383002114522595
114,-5.338816685412225
115,-5.384927564181303
116,0.0
117,4.665597353341791
118,0.0
119,-8.526123671091385
120,8.231218253501147
121,5.769782363642095
122,-4.789639926310276
123,7.531925509648386
124,0.0
125,4.699551251619887
126,0.0
127,6.314303600361613
128,-3.9505132177320355
129,0.0
130,0.0
131,3.98440534040351
132,0.0
133,-9.621736912383613
134,-5.015161759710803
135,0.0
136,-4.522540987787896
137,-10.305789244051073
138,0.0
139,-8.315588460829396
140,-11.171247980091485
141,-3.9895474640789383
142,-8.506409088961538
143,0.0
144,-10.578576014932072
145,0.0
146,0.0
147,-11.873184707646864
148,-5.356137222553847
149,9.646117089939228
150,-5.285896424011258
151,-8.82994186555003
152,0.0
153,-7.54865183861029
154,12.738176208601164
155,0.0
156,8.450177571307252
157,-7.015576067160984
158,0.0
159,0.0
160,0.0
161,11.496691964709623
162,-6.092728781331384
163,0.0
164,6.2245902725020965
165,7.451041936977221
166,0.0
167,0.0
168,0.0
169,-6.298687357418525
170,4.636001079277825
171,-6.275976253635728
172,-8.073178556916709
173,0.0
174,0.0
175,-4.889561196587287
176,0.0
177,5.592444156706069
178,8.886086774028481
179,-6.061883629937759
180,0.0
181,-12.471271576796298
182,-5.47047421842862
183,0.0
184,-6.166635548291143
185,-6.149987269452471
186,-8.575931451364733
187,-8.020037909760795
188,0.0
189,-8.74313025556278
190,-8.048114499291882
191,-4.12940822438859
192,-8.537947918352936
193,0.0
194,0.0
195,-4.90470894774942
196,-8.056890676012962
197,13.769434432140766
198,-4.593787016336874
199,9.419928807600636
200,4.924306518992678
201,0.0
202,0.0
203,14.800906653547761
204,0.0
205,11.298618265805356
206,16.02712511091968
207,0.0
208,11.481352764587566
209,10.664287864074817
210,-6.150108360855506
211,0.0
212,0.0
213,0.0
214,-6.052945785071582
215,0.0
216,-7.393714926183227
217,-6.495810123387833
218,0.0
219,0.0
220,0.0
221,-7.997345310190696
222,-8.948604681848785
223,0.0
224,-9.164800423434123
225,0.0
226,-5.53075634220654
227,-5.042163330401521
228,-8.648662295618804
229,0.0
230,-7.3969865382061535
231,0.0
232,0.0
233,7.656037707710806
234,-4.974756877092011
235,8.131477941372847
236,0.0
237,10.58413857657059
238,0.0
239,7.8763271613032675
240,0.0
241,0.0
242,0.0
243,-6.453135032085825
244,7.073082401911238
245,0.0
246,0.0
247,4.661417040292509
248,9.766871118417148
249,8.543918119675473
250,0.0
251,0.0
252,0.0
253,4.640817541935663
254,0.0
255,4.682674508996902
256,-6.255153601670675
257,7.5581459233835755
258,0.0
259,0.0
260,5.49404972185963
261,0.0
262,4.7750085615608935
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
