,probe_fail+probe_success
0,0.0
1,-4.630265236427977
2,-8.539397472152693
3,0.0
4,-10.093202835661144
5,-5.738820775724382
6,0.0
7,0.0
8,5.926234945433051
9,0.0
10,11.87665451488976
11,0.0
12,0.0
13,7.578337117937803
14,14.060211931668789
15,12.925687537603906
16,0.0
17,0.0
18,6.818600956005784
19,16.634142718655337
20,9.077598229582934
21,8.777371548621991
22,0.0
23,-8.983688560784943
24,0.0
25,0.0
26,0.0
27,16.573638092976854
28,14.768472034581796
29,5.0987008575867305
30,7.956226219922458
31,7.020227238859239
32,-5.867836239061386
33,4.755159041866765
34,6.099643872201973
35,11.318758195443142
36,0.0
37,10.116270668389484
38,-11.039272729702505
39,-9.006905228206495
40,3.900379938729171
41,0.0
42,6.947634516434177
43,5.255415784774529
44,10.622855882115399
45,0.0
46,5.821362340539005
47,-7.47575753284089
48,5.588778293708227
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,6.931617669567312
59,0.0
60,-8.758476435900473
61,-8.769725371575202
62,0.0
63,-3.9719341197428992
64,6.2328282144926845
65,8.505016942287773
66,8.237052490423018
67,9.363324301806122
68,6.3565933526374
69,0.0
70,11.234791391401323
71,0.0
72,5.632315240459887
73,8.900067233398158
74,0.0
75,0.0
76,-6.219498726723542
77,0.0
78,-11.803626711944325
79,-11.491800307044025
80,0.0
81,0.0
82,4.476044265051312
83,6.116348509829449
84,-6.026482887537892
85,0.0
86,0.0
87,5.2563759270601365
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,-4.441083545740533
94,4.70084004146924
95,0.0
96,0.0
97,0.0
98,-6.1665986564990956
99,-7.5214174468084565
100,0.0
101,-5.977023486495917
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,-5.931304982536566
111,0.0
112,0.0
113,-3.9809701176511676
114,-4.396071038962823
115,-6.699337527980129
116,0.0
117,4.161694059934572
118,0.0
119,-6.0963250987111
120,9.975547341631763
121,6.602883896791555
122,-4.263404971724063
123,0.0
124,0.0
125,6.1539779985843825
126,0.0
127,8.414709742044776
128,0.0
129,0.0
130,0.0
131,5.540141199621199
132,0.0
133,-10.377832269664612
134,-4.3011722720819225
135,0.0
136,-4.7275859828776925
137,-11.110275787814938
138,0.0
139,-6.083122242937193
140,-10.310445032402258
141,-5.270189622972431
142,-9.224192816841894
143,5.673306421798315
144,-9.826432615114621
145,0.0
146,0.0
147,-10.30650236656811
148,-4.6725171249622095
149,13.841780145468665
150,0.0
151,-9.354536368144805
152,4.722050876840157
153,-6.696449971383399
154,16.526683074087597
155,5.687727614198736
156,8.194895720237797
157,-5.145473065860338
158,0.0
159,0.0
160,0.0
161,12.695403491728692
162,-4.946551956374185
163,0.0
164,5.61301995911037
165,6.722775359526434
166,0.0
167,6.178434256573993
168,7.257499740022624
169,0.0
170,5.413796356958517
171,-6.782586502013405
172,-7.67816841203658
173,-6.165742715329044
174,0.0
175,0.0
176,0.0
177,4.989130488086433
178,7.898157236650446
179,-5.264766225978515
180,0.0
181,-12.782795666725775
182,-4.484321105737509
183,0.0
184,0.0
185,-5.482401866478014
186,-8.499058472816923
187,-7.344937528989784
188,0.0
189,-8.72503648969349
190,-8.41157621419025
191,0.0
192,-7.211624060586718
193,0.0
194,0.0
195,0.0
196,-8.591340513502452
197,11.769935947680532
198,-5.812870240536778
199,8.109735492174456
200,0.0
201,0.0
202,0.0
203,11.812869565612258
204,0.0
205,9.565189921903366
206,13.48880200036512
207,0.0
208,8.419955996560999
209,7.970038346164288
210,-6.897069301252496
211,0.0
212,0.0
213,0.0
214,-5.717020579581286
215,0.0
216,-6.44213863432225
217,-4.766317535851752
218,5.221495661766582
219,0.0
220,6.494672068537364
221,-6.2424015642568635
222,-8.865304457800079
223,0.0
224,-8.74825766603017
225,0.0
226,-7.256891822357617
227,-4.483516174216642
228,-7.8180293085734425
229,0.0
230,-7.752266998281161
231,0.0
232,0.0
233,6.837938769005508
234,0.0
235,4.471521540382938
236,0.0
237,9.862873099483442
238,0.0
239,6.364550726599689
240,0.0
241,0.0
242,0.0
243,-4.650760071608467
244,6.192840937355331
245,0.0
246,0.0
247,0.0
248,8.184366588319412
249,7.392881570014998
250,0.0
251,0.0
252,0.0
253,4.834412510015779
254,0.0
255,0.0
256,-8.537022982245645
257,8.713712721923175
258,0.0
259,0.0
260,0.0
261,4.9552383797659205
262,7.817947184401954
263,0.0
264,3.965809528772252
265,0.0
266,0.0
267,0.0
