ROI_num,probe_success,probe_fail,probe_success-probe_fail,common_fail,VTCcorr
1,-5.307759223129084,-5.277831498696648,0.0,0.0,-4.82483852017252
3,-6.533996809502297,-9.541944190043244,0.0,-5.422494377971045,-6.546658215934127
5,-7.82937981809776,-6.638876114687912,0.0,0.0,-6.63590271294484
6,-6.460944902704663,-7.517947798243938,0.0,-4.940269529125122,-6.631966925617981
9,0.0,4.495643667591265,0.0,0.0,0.0
10,-6.336926953926666,-5.351593930493575,0.0,0.0,-5.5113185768248005
11,4.328019240522388,6.389296668784342,0.0,0.0,4.32717351796133
12,-6.302425784268243,0.0,0.0,0.0,-6.955305247537981
13,-7.488042710103003,-5.185433179547518,0.0,0.0,-4.587447893065542
15,4.473351204826313,9.016708582579671,-5.619838947953832,0.0,5.076771870385337
19,0.0,0.0,0.0,5.013885791591195,0.0
20,9.84244993085413,8.942838991674153,0.0,8.936285213708187,6.051112544251375
21,9.194145811556572,6.937642663130015,0.0,7.524281661987151,6.204072199406454
26,0.0,0.0,0.0,0.0,5.616179875457789
27,6.755625171312611,0.0,0.0,0.0,4.399653578303129
28,7.84616567329765,10.369988467817835,0.0,5.058219421750963,5.310358909322033
29,9.099621248088887,8.695457561274628,0.0,0.0,4.722019042953251
31,4.640405929296903,4.434329428386985,0.0,0.0,0.0
32,8.289704077749327,6.272104052663918,0.0,6.4597095919060745,6.710942348339649
33,0.0,-6.094769782701375,0.0,0.0,0.0
34,0.0,6.334552201608063,-4.761238082932465,6.937965394781035,6.4707833327609325
35,0.0,0.0,0.0,4.586453041023215,5.011205568809909
36,7.573042986441356,8.314742737243924,0.0,5.1222886523497575,0.0
38,0.0,0.0,4.591465951553788,4.803947925832993,5.438458313372993
39,-6.043700579392144,-5.98350649857905,0.0,0.0,0.0
43,7.494080508433848,7.005586495173622,0.0,0.0,0.0
45,5.528102650279836,0.0,0.0,7.285718211652803,8.941730048392023
46,0.0,0.0,0.0,5.389211465132778,6.0067723093971
47,0.0,6.022448240835199,0.0,0.0,0.0
48,-5.624673473696509,-4.492632723615895,0.0,0.0,0.0
53,0.0,-4.847555386573612,0.0,0.0,0.0
55,-7.425258818718686,-4.83992583286407,0.0,0.0,0.0
56,-5.800047865345186,0.0,0.0,0.0,0.0
63,0.0,-6.100836848721729,4.420757181905435,0.0,0.0
64,0.0,-5.271148635644075,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,4.455056335049158
66,8.993328133263434,0.0,4.454405051159455,0.0,0.0
67,8.824608448032789,9.051118287016845,0.0,0.0,0.0
68,6.337075036565239,7.069104389916218,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,4.733984836196177
70,-4.267111833231462,0.0,0.0,0.0,0.0
71,9.88760929716873,6.317392364417168,0.0,0.0,0.0
73,7.542214349211028,0.0,0.0,0.0,0.0
74,7.169568918343992,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,4.696212502676786
90,-4.656056718964389,0.0,0.0,0.0,-4.350615049258652
99,0.0,-5.205876737508362,0.0,0.0,0.0
100,-6.667993088996104,-6.229964678107626,0.0,-5.129720160367757,-6.889307232985942
102,-5.080255433171471,0.0,0.0,-4.569001215060868,-5.449971113218936
111,-5.333108814480864,-5.767826257413631,0.0,-4.860967079188804,-5.75321407306223
113,4.424135455095379,6.798319658081288,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,-4.375548499978167
116,-5.600717044343856,0.0,0.0,-4.958492921732205,-5.042259035610535
117,0.0,0.0,0.0,0.0,-5.26282692212841
118,0.0,5.087974994615367,-5.112935158149957,0.0,0.0
120,-4.711754407713581,0.0,0.0,0.0,0.0
124,5.075361809584983,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,-4.800605347296036
126,4.56423110962766,5.093189527006115,0.0,0.0,0.0
128,0.0,6.317007303660939,0.0,0.0,0.0
134,-7.673161323992043,-6.317926875984995,0.0,0.0,0.0
135,-4.763709416699485,-4.428486099804782,0.0,-5.016793809192805,0.0
137,-6.351810889700407,-8.426688012769635,0.0,0.0,0.0
138,-7.583755372910102,-9.583208759995316,0.0,-6.060041396967135,-6.641554136410932
140,-5.500759034456116,-5.560837269367415,0.0,0.0,-5.409264739274853
141,-6.896365876685206,-9.737470790113903,0.0,-5.4074696676290985,-6.97707110751357
143,-6.245564797960702,-7.1793235464042775,0.0,0.0,0.0
144,0.0,6.201070295656241,0.0,0.0,0.0
145,-5.221882476403118,-9.16222399527427,0.0,0.0,-6.489783942573726
146,-5.93225389654967,0.0,0.0,0.0,0.0
148,-6.136096038121558,-8.07355805445206,0.0,0.0,-7.954057627125966
149,-6.940823748029296,-9.240229674088518,0.0,0.0,-5.577886221395981
150,5.384329692376702,7.821235439580828,0.0,5.082856738198431,0.0
152,-6.239367502384206,-4.780889899309448,0.0,0.0,0.0
155,9.024319471585654,9.676004576680944,0.0,6.615668258767466,4.878770075493222
157,0.0,0.0,0.0,4.522000063341511,0.0
158,-5.017037087643326,0.0,0.0,0.0,0.0
161,0.0,4.487468098911499,0.0,5.037934220253646,0.0
162,5.757522783055936,6.967474714201451,0.0,0.0,0.0
163,0.0,0.0,0.0,0.0,5.819303505339824
166,5.535172796109303,5.930009433793068,0.0,4.849950430597891,7.847556740351183
169,0.0,8.373921963712988,-4.570951387705363,0.0,4.8952726064834025
170,-4.508808647222404,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,0.0,6.152242145683586
173,-5.611786113713978,0.0,0.0,0.0,0.0
174,-4.263922317082372,-5.522167222011278,0.0,0.0,0.0
176,-4.57073598118702,0.0,0.0,0.0,0.0
177,5.201185716910894,4.62987921491265,0.0,0.0,0.0
179,4.742463952393709,4.450171159007093,0.0,5.272445918865094,7.679987638323083
181,0.0,6.217975045556869,0.0,5.0615103023006895,7.811778951293629
182,-7.031912668049801,-8.853885951925609,0.0,0.0,-5.26315993412912
183,-5.944371090669989,-8.589825208087898,0.0,0.0,0.0
186,0.0,-5.280238367760827,0.0,0.0,0.0
187,0.0,-8.081900618232519,4.490287336453806,0.0,0.0
190,-4.358268072523886,-10.226926135754422,5.194883124946026,0.0,-4.456078137341176
191,0.0,-4.987635350424425,0.0,0.0,0.0
193,0.0,-6.284204393187406,0.0,0.0,0.0
196,-5.398561591712791,0.0,0.0,0.0,0.0
197,0.0,-6.817330539346584,5.201755461915818,0.0,0.0
198,8.011299102771028,5.874704309719006,0.0,0.0,0.0
199,-5.87676609622157,-6.439079915451868,0.0,0.0,0.0
200,8.85414091504259,5.635729252752315,0.0,0.0,0.0
204,10.175203035479962,7.203488966208245,0.0,0.0,0.0
206,9.795787450456414,9.438394539298194,0.0,0.0,0.0
207,8.711013871061754,8.136246789147664,0.0,0.0,0.0
209,5.928061084837395,0.0,0.0,0.0,0.0
210,6.72325495582737,5.179531762624355,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0,4.443744639937313
217,-4.855012392714285,0.0,0.0,0.0,0.0
218,-4.571282030270433,0.0,0.0,0.0,0.0
221,0.0,7.052987420403125,-5.301466700608927,0.0,0.0
222,-8.397095027829513,-7.19852233440576,0.0,0.0,0.0
223,0.0,0.0,0.0,0.0,-5.375755570854922
225,-6.718682379688817,-7.710154797300436,0.0,0.0,-6.121744590160869
226,-6.783423601472189,0.0,0.0,0.0,0.0
231,-6.491386220431057,-7.56528184305661,0.0,0.0,-4.364802564047704
235,0.0,-4.818929155198779,0.0,0.0,0.0
236,4.92424154566142,0.0,0.0,0.0,0.0
238,6.987237781880061,9.191077718309158,0.0,0.0,0.0
240,5.748245703786456,4.755581762625056,0.0,0.0,0.0
242,-8.322190715983991,-4.6641541428699975,0.0,-4.230319569835132,0.0
261,4.365343673734304,0.0,4.5561645982660846,-5.38076028630064,-4.600178754519383
263,0.0,4.999252943009513,0.0,0.0,0.0
