,VTCcorr
0,-4.82483852017252
1,0.0
2,-6.546658215934127
3,0.0
4,-6.63590271294484
5,-6.631966925617981
6,0.0
7,0.0
8,0.0
9,-5.5113185768248005
10,4.32717351796133
11,-6.955305247537981
12,-4.587447893065542
13,0.0
14,5.076771870385337
15,0.0
16,0.0
17,0.0
18,0.0
19,6.0511125442513745
20,6.204072199406454
21,0.0
22,0.0
23,0.0
24,0.0
25,5.616179875457789
26,4.399653578303129
27,5.310358909322033
28,4.722019042953251
29,0.0
30,0.0
31,6.710942348339649
32,0.0
33,6.4707833327609325
34,5.011205568809909
35,0.0
36,0.0
37,5.438458313372993
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,8.941730048392023
45,6.0067723093971
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,4.455056335049158
65,0.0
66,0.0
67,0.0
68,4.733984836196177
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,4.696212502676786
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,-4.350615049258652
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,-6.889307232985942
100,0.0
101,-5.449971113218936
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,-5.75321407306223
111,0.0
112,0.0
113,-4.375548499978167
114,0.0
115,-5.042259035610535
116,-5.26282692212841
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,-4.8006053472960355
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,-6.641554136410932
138,0.0
139,-5.409264739274853
140,-6.97707110751357
141,0.0
142,0.0
143,0.0
144,-6.489783942573726
145,0.0
146,0.0
147,-7.954057627125966
148,-5.577886221395981
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,4.878770075493222
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,5.819303505339824
163,0.0
164,0.0
165,7.847556740351183
166,0.0
167,0.0
168,4.8952726064834025
169,0.0
170,6.152242145683586
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,7.679987638323083
179,0.0
180,7.811778951293629
181,-5.26315993412912
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,-4.4560781373411755
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,4.443744639937313
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,-5.375755570854922
223,0.0
224,-6.121744590160869
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,-4.364802564047704
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,-4.600178754519383
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
